Depth(ft)	GR (API)
8232.5	62.4846512
8233	69.6960465
8233.5	65.6797674
8234	63.7130233
8234.5	65.0386047
8235	66.5465116
8235.5	68.4418605
8236	64.1976744
8236.5	55.0172093
8237	46.6290698
8237.5	43.022093
8238	44.3476744
8238.5	46.5072093
8239	49.7281395
8239.5	56.9006977
8240	82.88
8240.5	87.2404651
8241	88.9995349
8241.5	83.7518605
8242	76.7960465
8242.5	71.2274419
8243	68.2730233
8243.5	67.8496512
8244	67.9645349
8244.5	69.4819767
8245	71.0653488
8245.5	72.7048837
8246	74.3444186
8246.5	72.2704651
8247	71.3755814
8247.5	73.6488372
8248	75.922093
8248.5	78.1953488
8249	81.6732558
8249.5	83.5874419
8250	79.3465116
8250.5	73.5093023
8251	72.2738372
8251.5	73.2215116
8252	73.7270349
8252.5	74.1078488
8253	74.4886628
8253.5	74.222093
8254	72.1574419
8254.5	68.1004651
8255	62.024186
8255.5	56.5772093
8256	50.1013953
8256.5	42.255814
8257	35.9544186
8257.5	32.9997674
8258	31.8660465
8258.5	33.5616279
8259	35.8569767
8259.5	40.1790698
8260	45.085
8260.5	50.2123256
8261	58.6251163
8261.5	65.8037209
8262	75.5109302
8262.5	76.5186822
8263	77.5264341
8263.5	77.99
8264	77.99
8264.5	77.99
8265	74.392907
8265.5	77.4219767
8266	81.4606977
8266.5	86.9472093
8267	90.9986047
8267.5	90.1637209
8268	88.0265116
8268.5	83.5223256
8269	81.9881395
8269.5	83.1218605
8270	84.9848837
8270.5	87.2581395
8271	90.0555814
8271.5	91.7230233
8272	86.5018605
8272.5	77.9409302
8273	72.4790698
8273.5	67.4502326
8274	69.9862791
8274.5	74.0755814
8275	82.2444186
8275.5	89.5137209
8276	93.074186
8276.5	94.4275194
8277	95.0593023
8277.5	95.2253488
8278	92.3811628
8278.5	83.5472093
8279	65.2544186
8279.5	55.7404651
8280	50.63
8280.5	56.8594186
8281	61.7838372
8281.5	70.0462791
8282	80.3788372
8282.5	84.2067442
8283	83.7139535
8283.5	82.607907
8284	81.1265116
8284.5	81.2776744
8285	79.0839535
8285.5	73.6174419
8286	61.8953488
8286.5	51.2102326
8287	45.1930233
8287.5	44.9332558
8288	53.2830233
8288.5	70.5448837
8289	78.0472093
8289.5	82.1348837
8290	76.0739535
8290.5	69.8867442
8291	68.1832558
8291.5	69.2667442
8292	75.1648837
8292.5	77.7268605
8293	78.6745349
8293.5	78.0111628
8294	75.1302326
8294.5	73.2348837
8295	71.3395349
8295.5	73.185814
8296	74.9105814
8296.5	75.8582558
8297	77.0653488
8297.5	78.4653488
8298	79.7909302
8298.5	78.2746512
8299	76.0667442
8299.5	75.3086047
8300	79.465
8300.5	82.9832558
8301	83.7390698
8301.5	82.9027907
8302	81.7186047
8302.5	80.7965116
8303	81.5523256
8303.5	82.9234884
8304	85.0797674
8304.5	87.1967442
8305	88.7293023
8305.5	84.8674419
8306	81.0055814
8306.5	78.7018605
8307	75.1681395
8307.5	73.4983721
8308	73.0747674
8308.5	72.3630233
8309	70.3337209
8309.5	70.5255814
8310	73.1767442
